x,y,z,w,name
6.55,21.15,40.83581086,46.04234794,96
7.45,21.95,63.97459896,27.21738436,97
7.4,21.55,85.85503871,83.29939516,98
7.75,21.2,19.25331758,90.70893209,99
7.65,20.65,87.11712524,99.31455273,100
6.95,19.8,73.97960475,76.03851168,101
6.6,20.1,23.43251526,72.01917371,102
6.05,20.2,71.64830517,31.55026857,103
5.4,19.65,57.99215415,30.07785047,104
5.35,19.05,23.1621426,87.82091465,105
5.8,18.25,76.05526799,31.48737335,106
6.3,19.1,34.95856545,96.73601467,107
7,18.9,78.43257361,42.96118928,108
7.15,17.9,17.90489376,67.71940497,109
7.35,18.2,9.223064848,21.25889447,110
8.2,20.05,16.93305106,55.18022873,111
8.3,19.45,79.09159007,81.39665058,112
8.3,18.5,87.33004329,67.70762699,113
8.75,18.8,81.85897263,20.75219212,114
9.05,18.2,75.19546674,22.24198962,115
9.35,17.7,69.91042314,85.13191502,116
8.9,17.65,5.703346727,49.54207526,117
8.45,17.2,48.39332709,48.96196205,118
10.05,17.2,76.49108229,38.86155911,119
10.4,16.75,99.09311372,52.67173661,120
8.6,20.9,75.18342647,12.24683698,121
8.65,21.3,54.14918586,81.2178802,122
8.65,21.9,1.792995339,94.81998152,123
8.65,22.5,90.816148,10.62935084,124
8.95,22.8,29.51705321,19.50261239,125
9.95,22.65,72.92303972,66.73239917,126
8.95,22.2,68.45499463,9.98715956,127
9.65,21.9,53.72082624,63.21599083,128
10.55,22.3,23.68247165,62.83567807,129
10.9,22.85,85.71044546,37.568019,130
11.35,23.45,17.97080224,82.69181413,131
12.05,23.4,38.92148958,19.67552234,132
12.3,22.75,76.60595792,40.87302468,133
11.7,22.15,19.57780618,86.56897602,134
11.15,22.05,64.18046568,76.00014305,135
10.85,21.5,63.23108858,98.91149686,136
10.85,21.05,57.19764516,21.68919353,137
9.6,21.3,79.83468524,23.86855935,138
9.85,20.7,49.9550253,85.81100743,139
9.35,20.6,33.53327004,51.90987366,140
9.25,19.65,97.46551756,0.630121807,141
9.95,19.8,29.99005737,89.13484616,142
10.7,20.35,75.64700007,20.87723148,143
11.3,20.7,11.14803335,41.01486482,144
12.35,21.6,3.136141736,1.50603183,145
13.1,21.3,66.582753,50.3550332,146
12.85,20.75,56.22086199,53.18365368,147
12,20,68.92193006,67.08594806,148
11,19.85,88.54438401,25.4217712,149
10.35,19,60.12202303,18.38599063,150
9.9,18.65,76.36034852,81.52976595,151
10.6,18.15,83.04809785,47.86638089,152
11.4,18.3,17.47979781,63.57400166,153
11.4,19.25,88.5434738,28.08612717,154
12.35,18.8,60.56507507,2.324080504,155
12.8,19.75,24.10639504,21.74909593,156
12.15,18.1,11.31224287,87.49979913,157
11.05,17.5,72.39256822,68.65430223,158
11.95,17.25,35.04516346,70.62055408,159
12.25,17.5,55.68670896,56.95847521,160
13.05,17.4,26.15963337,58.68872863,161
13.75,18.15,63.53794379,88.99199992,162
13.5,18.65,49.6347975,31.43780796,163
13.65,19.25,88.42895635,17.78169997,164
14,19.9,70.62147933,41.10595111,165
15.2,18.2,22.31431583,10.79645066,166
15.5,17.15,44.32303891,43.30006728,167
13.9,17.1,21.31371475,27.93202853,168
13.75,16.6,91.38983416,54.52618947,169
12.15,16.4,59.66135965,70.63056561,170
7.8,13.7,40.87200677,61.94751254,171
8.85,13.35,27.60476066,13.11982589,172
9,12.7,81.84695722,2.649384942,173
9.7,12.1,76.17957009,30.62607405,174
8.05,12.9,24.97113485,62.42277239,175
7.7,13.25,44.41825794,85.80712866,176
6.8,13.2,5.580976385,96.94644426,177
6.6,13.45,94.18923939,85.76156857,178
6.2,12.55,23.67067281,86.89084657,179
5.4,12.85,40.41659542,37.40073281,180
5.7,12.25,27.00317458,68.38253345,181
5.2,11.9,89.19976551,27.74897139,182
5.15,11.35,2.339341533,18.24271862,183
5.85,11.2,18.74194705,78.9982281,184
6.1,11.75,94.03598681,85.75597972,185
7,12.35,10.17507641,16.08906001,186
7.05,12.45,21.37882044,43.280584,187
7.9,12.5,68.3681352,38.03087126,188
8.55,12.1,9.264037269,85.74885247,189
7.85,11.85,39.59475226,19.32598246,190
7.1,11.95,92.53317636,5.85013311,191
6.9,11.5,19.93266315,71.97125036,192
6.85,10.9,90.65561832,49.76566302,193
6.4,10.7,54.13600513,9.461286568,194
5.9,10.3,76.19188384,80.92806018,195
6.4,10.25,58.04446085,10.28795651,196
7.05,10.05,32.80735485,41.66168427,197
7.35,10.5,41.07725922,98.37963737,198
7.65,11.1,27.88406139,59.98214164,199
8.1,11.2,15.14007415,55.04399037,200
8.8,11.4,8.446721054,32.31663394,201
8.3,10.55,58.29052748,29.58744422,202
9,10.9,41.46139987,70.15256194,203
9.35,10.5,84.61022675,17.66430159,204
10.15,11,6.635194611,50.00750056,205
10.4,10.55,70.3490206,73.80525747,206
10.9,10,13.94810515,80.45190234,207
11.55,10.2,17.0515975,26.99152826,208
11.75,10.85,67.07981063,55.9377383,209
10.1,8.65,49.12186938,69.15688632,210
11.05,9.1,35.27496239,54.11904173,211
11.85,9.8,39.67989771,87.74690266,212
12.85,10.65,42.3918224,62.5981541,213
12.9,11.7,55.18168239,71.37005596,214
13.6,11.1,45.86820449,46.3611282,215
14.05,11.75,39.20315006,66.01738227,216
14.5,11.8,14.0305526,60.29167679,217
14.3,12.45,11.0478054,20.05303862,218
17,12.9,6.478372486,41.39094116,219
15.8,12.6,28.74283674,32.54749684,220
15.85,12,96.06292565,89.99555017,221
16.7,12.2,66.64344933,85.39353463,222
16.25,11.7,25.63463286,32.74814418,223
15.55,11.15,58.69030445,70.92743866,224
14.8,11.35,54.62282757,64.47909327,225
14.45,10.75,21.35107151,27.92910131,226
13.75,10.45,25.21555727,96.76259037,227
12.8,10.1,18.72556552,66.15762908,228
13.15,9.8,41.31634903,18.08884374,229
12.45,9.3,47.17519876,5.217134938,230
11.8,8.95,86.64035997,37.78931727,231
11.1,8.45,73.53566788,4.190566528,232
10.35,7.7,52.12264178,20.03000956,233
10.1,6.75,91.44107155,47.43919122,234
11.3,7.95,81.36600394,14.1117148,235
12.35,8.45,34.29718879,90.41995802,236
13.1,8.95,61.08419854,66.7941831,237
13.2,9.35,7.292000022,3.481396822,238
14.1,10.05,16.91437418,27.02673081,239
11.5,7.5,96.37474193,77.15537471,240
11.35,6.9,68.32022947,55.26924125,241
11.95,6.75,23.70648618,30.6632948,242
12.4,7.1,94.23289166,68.09444805,243
12.25,7.6,76.20638011,59.87911054,244
12.95,7.6,53.11637979,84.80643334,245
13.45,7.95,96.74074841,22.20618201,246
13.35,8.25,81.42954846,11.76180341,247
13.75,9,24.60590653,88.53274665,248
14.3,9.3,42.89276317,66.22912525,249
14.85,9.55,89.74128956,82.4449143,250
15.1,10.25,41.87691303,47.58023532,251
15.45,10.55,59.97263238,61.28108788,252
16.35,10.85,48.05708564,53.58990027,253
16.75,11.5,4.654936644,17.99789014,254
16.25,10.2,64.70091376,7.750911166,255
15.4,10.1,62.92732479,22.63106865,256
15.45,9.7,95.33818829,81.12707098,257
15.15,9.3,69.98985656,26.010287,258
15.25,8.65,70.60545501,50.81157338,259
15.55,8.2,38.4026051,57.68553274,260
14.25,8.7,98.02243813,96.08730082,261
14.25,8.25,39.59311205,33.57109452,262
15.05,7.8,32.53602781,93.22148326,263
14.3,7.5,56.52840967,25.70685342,264
13.55,7.45,17.42527155,13.1357343,265
14.3,6.95,52.69806887,83.90938993,266
13.95,6.7,34.70636762,67.6770921,267
13.05,6.95,62.18116964,61.14363997,268
13.05,6.2,91.04274709,52.57531065,269
11.55,6.3,50.24387053,39.43274904,270
10.8,5.85,74.44946668,54.88113036,271
10.6,5.05,58.0202936,1.404688437,272
11.35,5.55,60.23616045,39.52573645,273
12.15,5.4,45.45297194,97.92058654,274
12.4,5.8,29.99889748,7.569048992,275
12.8,5.7,31.37250366,49.11092177,276
13.65,5.9,59.68700599,1.929586101,277
13.9,5.3,65.27718424,52.917749,278
13.1,5.1,22.95242457,44.94130221,279
12.55,4.9,0.227588061,63.12958722,280
11.5,4.75,56.3763286,94.30717443,281
11.35,4.05,36.68302495,24.55497079,282
12.4,4.35,27.78729051,13.60739727,283
11.75,3.45,62.51932008,82.02258288,284
12.65,3.7,63.13814904,4.52104678,285
13.4,4.35,26.68269819,44.18920877,286
13.9,4.95,11.71157783,24.44020743,287
12.75,3,59.79038428,18.55739644,288
13.55,3.15,96.3318256,95.14611238,289
13.7,3.65,51.1867138,40.66740365,290
14.1,4.1,40.22818307,23.38412243,291
14.65,5.05,8.446613965,35.03062277,292
14.35,5.75,84.68177279,91.72081456,293
14.5,6.55,89.49543951,77.84576063,294
15.15,7.1,0.015810235,88.9253799,295
13.6,2.55,72.09096864,18.13438391,296
14.45,2.4,6.917576794,63.44105066,297
14.6,3.05,55.94752527,77.50887896,298
15,3.4,1.924741477,98.83572595,299
15.25,3.5,15.77763214,12.09086457,300
14.7,4.1,89.64694519,70.5411512,301
14.7,4.5,40.85408243,45.26345038,302
15.25,2.7,80.09940236,93.75101826,303
15.65,2.05,16.45492598,59.30979699,304
15.95,2.8,27.59890369,59.95814904,305
16.1,3.55,4.067797453,31.23672583,306
15.9,4,7.947702935,98.46270287,307
15.6,4.75,15.75787775,87.26309731,308
15.55,5.05,71.86738078,36.62298918,309
15.35,5.5,2.971378798,25.06464509,310
15.15,5.95,6.216871262,59.6177073,311
15.5,6.75,0.79582681,31.55776402,312
15.7,6.35,57.99697183,60.53062169,313
16.2,5.9,60.563296,95.68275437,314
16.35,5.35,13.5618897,77.11665951,315
16.2,4.55,36.11066637,61.78080908,316
16.55,4.2,75.310879,20.60580616,317
16.95,4.75,46.44305882,42.68253326,318
17.05,5.1,44.95073735,83.70228197,319
17.3,4.8,25.73550029,64.45146555,320
17.3,4.15,60.20948365,55.14385514,321
17.6,4.3,70.58504211,61.33860992,322
17.05,3.7,19.04170522,36.65700793,323
17.25,3.05,71.73296008,97.8423754,324
16.65,2.8,45.4916272,32.482357,325
16.55,2.15,59.52334172,23.7160605,326
17.2,2.05,23.34628716,11.65152344,327
18.15,1.95,12.72646633,30.99088757,328
18.05,2.45,60.28412941,31.83307586,329
18.15,3.05,16.70036776,81.96716125,330
18.6,3.45,25.23024412,59.57648963,331
18.4,3.6,48.03446609,67.23562018,332
18.85,3.2,66.76374788,15.12087889,333
19.1,2.65,20.64555522,31.81824934,334
19.45,2.65,61.32500861,7.838564469,335
19,2.1,35.30707926,86.76280789,336
19.9,2.05,95.73159152,36.30681516,337
20.45,2.8,11.96488087,26.9166115,338
19.8,3.25,75.51840579,63.3596142,339
19.45,3.9,62.13271221,68.01353541,340
18.65,4.2,67.73667294,37.26140953,341
18.4,4.6,70.94548788,5.789919058,342
18.65,4.75,84.74152966,13.65409628,343
18.75,5.15,33.28027557,15.72795663,344
19.1,4.55,78.0808933,71.27958687,345
17.9,5.4,87.79619438,69.01092369,346
17.65,5.7,31.15990612,29.76402572,347
17.05,6.05,26.85678613,89.23629064,348
17.4,6.5,21.69754964,52.00994052,349
16.6,6.85,31.13652166,96.94637054,350
15.7,7.15,8.386275107,17.14353603,351
15.75,7.75,20.71844446,52.68530238,352
16.6,7.95,15.79186149,23.41553728,353
20.4,3.4,32.33174565,74.16459046,354
20.7,3.45,1.226146201,5.048646147,355
21.15,2.85,53.33388724,76.00358086,356
21.75,2.65,34.51089206,99.49497672,357
22,3.25,64.21004563,18.51767344,358
22.2,3.5,5.651097135,33.49112479,359
21.45,3.75,49.8306992,16.07069501,360
21.1,4.05,5.649364143,41.03298978,361
20.15,4.3,52.04955126,94.59602058,362
20.8,4.7,41.27905995,43.01738615,363
20.7,5.15,85.9385783,27.82088595,364
19.75,5.05,65.07756494,39.40690847,365
19.85,5.5,67.7177676,5.56159699,366
20.4,5.65,82.4148835,68.58577471,367
20.55,5.75,63.40885959,66.80920614,368
18.7,5.75,92.73523342,24.11902755,369
19.25,5.95,72.35156735,7.848188439,370
18.4,6,59.70750006,84.50377434,371
18.45,6.6,88.22011244,67.44136216,372
17.65,7.05,52.43469647,37.22784348,373
16.7,7.4,19.60057861,81.57642077,374
18.65,7.3,0.609266897,39.29151336,375
18.05,7.35,51.89888918,22.14427673,376
17.85,7.75,47.8529419,94.43643079,377
17.5,8.25,34.81066282,44.19114446,378
17.15,8.6,55.44434891,42.47444494,379
17.05,9,14.54516326,47.8151658,380
16.4,8.7,65.0902276,10.31597406,381
16.05,8.95,50.36373132,20.38943775,382
16.05,9.6,20.94156035,17.33734265,383
16.5,9.75,93.91248885,65.54039328,384
17.25,9.6,63.52467103,39.62347231,385
17.6,9.9,10.89014615,27.44188844,386
17.8,9.3,23.06202313,21.77331446,387
18,8.55,62.04434049,5.354889876,388
18.8,8.1,16.35892453,42.92009648,389
18.8,8.35,52.40771489,75.25842581,390
19.4,7.6,45.76232741,19.08205091,391
19.25,6.6,48.0461573,34.68110334,392
20.05,6.95,45.27058841,51.3754384,393
19.8,7.5,64.28268164,72.37187517,394
20.05,6.35,32.89949565,53.08520024,395
21.15,5.7,55.45830342,79.90031311,396
21.65,4.85,96.9585635,7.645781297,397
22.15,4.35,51.10983139,39.55814396,398
23.05,3.35,35.88220875,50.04642338,399
23.05,3.8,84.93814598,35.23275886,400
23.15,4.4,8.141105786,21.62948821,401
22.5,4.75,0.153661546,94.91308852,402
22.15,5.2,16.4642723,44.07901727,403
24.15,4.55,31.15421114,68.51046999,404
23.5,5.05,68.22375102,38.80874704,405
23.1,5.3,4.576013161,10.31026194,406
23,5.75,26.77443349,94.64804583,407
22.2,5.75,39.78893509,66.20241587,408
21.85,6.2,68.24713645,35.38905586,409
20.75,6.55,9.644198329,71.77095895,410
21,7.15,24.95470867,86.83673335,411
20.75,7.65,3.859166133,19.05983465,412
20,8.2,12.3918909,34.92742594,413
19.5,8.65,97.70003337,66.96981015,414
18.85,9.05,62.9143216,91.86931497,415
18.75,9.55,17.99794366,92.71750398,416
18.6,10,88.43135078,51.48971707,417
16.95,10.35,86.23962179,32.8220719,418
17.35,10.85,8.353005419,12.72356269,419
18,10.65,60.80080378,33.11290254,420
18.5,10.55,32.26144711,56.24653302,421
18.1,11.1,5.707458267,0.404684296,422
17.55,11.3,83.90803994,90.25134404,423
17.95,11.9,72.00246819,31.27705929,424
18.3,12,14.59052801,39.41651119,425
18,12.5,8.916507148,37.43565159,426
19,11.65,11.96872502,73.72746382,427
19.5,11.05,22.26156817,89.46368378,428
19.45,10.55,31.8849891,5.937909269,429
19.4,9.65,31.58102105,40.29011939,430
20.1,9.4,63.20645065,15.52804299,431
20.05,9.95,70.80797521,60.7292564,432
20.05,10.2,44.87340233,89.60145895,433
19.35,12.2,98.17549324,83.71300808,434
19.2,12.25,83.75473288,84.3764873,435
20.05,11.6,47.79405072,19.57295443,436
20.6,11.15,27.79911744,84.11792573,437
20.7,10.65,83.98983793,10.43055024,438
21.3,11.65,54.29532845,59.89872548,439
21.8,11.15,38.68536306,53.05510066,440
21.85,10.7,62.59350507,95.11607368,441
21.65,10.05,65.31032866,88.79861537,442
20.95,10.2,58.87625396,84.6066389,443
20.9,9.7,59.24588081,70.11353128,444
21.65,9.45,41.93744697,72.44846134,445
21.2,9.25,96.43810772,72.77845234,446
20.75,8.75,84.90393879,79.48783541,447
20.55,8.75,89.52062147,42.51161409,448
21.1,8,4.001612428,62.87597092,449
21.65,8.65,52.96856844,19.42427301,450
21.75,8.2,62.81122514,86.78451003,451
21.95,7.55,19.02646551,50.41666017,452
22,6.75,15.9922379,90.1475493,453
22.8,6.45,77.83385128,89.43411525,454
22.65,6.65,82.26507976,10.09436893,455
22.75,7.05,43.04500754,43.92324264,456
23,7.35,14.25278,65.24651159,457
22.55,7.9,65.2733436,91.43649128,458
22.2,8.7,42.58546182,53.59346134,459
22.9,8.45,33.48629633,97.21895013,460
22.35,9.2,65.96494339,71.21396198,461
22.75,9.35,86.34666956,79.48034866,462
22.4,10.05,35.43817096,54.71530841,463
23.05,10.9,97.92341662,52.52493121,464
23.3,9.85,72.74846688,55.34790789,465
23.95,9.8,86.21133167,93.3569494,466
23.65,9.1,77.73104428,61.15564749,467
23.7,8.85,79.15204066,40.30868812,468
24.25,8.25,38.28396628,23.98229947,469
24.85,7.95,76.30597708,71.56290237,470
23.5,7.85,52.46783261,71.80502691,471
23.85,7.35,28.94643221,36.63263522,472
23.95,6.9,7.798658617,86.55766285,473
23.65,6.5,84.97867102,55.68220534,474
23.6,5.7,76.31215644,23.35542929,475
24.3,5.65,30.25253967,49.65946669,476
24.8,6.4,96.65530788,87.32560246,477
34.05,3.5,80.75239374,12.75555603,478
33.05,3.85,40.27970248,39.33028741,479
32,3.8,88.20847847,44.90804438,480
31.9,4.4,36.60581512,23.16045103,481
31.05,4.75,80.05031171,6.034252554,482
30.4,5.65,45.93168747,10.61933789,483
30.75,6.1,91.38876331,49.74284884,484
30,6.7,25.57733514,68.3143928,485
30.1,7.4,84.61889577,48.73171232,486
29.5,8.15,12.15254485,97.87704529,487
30.75,8,73.71578889,8.793569487,488
30.85,7.35,15.24250025,59.46447282,489
31.5,6.75,26.79430213,75.3555763,490
31.75,5.95,80.50079655,63.59993528,491
32.35,6.45,5.960174918,2.861639767,492
32.8,6,28.15850165,91.35059375,493
32.05,5.1,71.9765144,50.05324775,494
32.8,4.8,65.80987707,88.91852595,495
32.65,4.4,60.10837265,6.188164582,496
33.65,4.6,40.93826285,37.40897217,497
33.05,5.15,43.15751406,16.73420607,498
33.6,5.45,95.12547739,34.63319926,499
34.5,5.05,92.02468062,27.14897948,500
34.9,4.65,73.90850496,75.14226675,501
35.45,4.1,78.10141629,14.96234026,502
34.6,4.05,21.0582678,11.16436427,503
34.2,4.2,98.93941804,92.65905479,504
36.3,5.2,61.30372469,74.90252428,505
35.55,5.35,98.08105415,33.258794,506
35.95,6.05,74.21888493,66.48258842,507
34.8,5.85,97.51903069,24.54274289,508
33.7,6.15,66.83026939,80.8183508,509
33.95,6.6,5.098752117,14.11932123,510
33.7,7.05,25.36824549,61.65721416,511
32.75,7.1,3.197678738,10.26054913,512
32.3,7.65,31.60266874,25.68987308,513
33,7.9,72.89456179,36.56702851,514
31.95,8.15,95.05266508,98.12284902,515
31.15,8.65,64.86164502,37.23562337,516
30.35,8.85,29.55769765,31.24461721,517
29.85,9,74.0374738,66.82313622,518
30.7,9.15,92.26326162,66.24128853,519
29.7,9.9,17.40099193,2.482346892,520
30.45,9.95,71.26578376,94.69129142,521
30.95,9.85,40.26472099,7.539410256,522
31.8,9.45,0.890147716,69.36683932,523
32.45,8.8,77.22743065,25.48299542,524
33.55,8.6,73.87148243,88.69487995,525
34.35,7.7,42.59513234,3.397948385,526
34.7,8,99.67336529,9.225693557,527
34.6,7.25,14.0372017,2.682038789,528
35,6.8,22.45610883,84.48829089,529
35.5,7.35,54.29994457,82.35244641,530
36.1,7.5,33.98537175,73.87429662,531
36.55,7,39.73711266,8.930434129,532
36,8.2,35.79276921,41.24202951,533
35.35,8.05,18.49872009,74.12028627,534
36.55,8.65,2.290513848,56.0042754,535
36.4,9.1,23.69139526,16.3600763,536
35.5,9.1,24.77402114,7.114861338,537
34.55,8.85,9.267005546,95.24531534,538
35.25,9.4,80.36053392,30.67441239,539
34.4,9.5,17.92524781,76.83207907,540
33.5,9.3,79.08731467,56.23189219,541
33.85,9.8,57.00317,16.70147076,542
32.5,9.65,31.70672107,94.27159356,543
32.3,10.25,7.231782009,1.746959688,544
33.3,10.3,83.5286025,16.09818443,545
31.6,10.5,5.336020784,10.16549696,546
30.6,10.5,4.97243001,11.66040416,547
30.4,11.1,37.23342982,70.22423155,548
30.9,11.45,14.14247557,73.23008959,549
30.7,11.65,46.16275801,47.01278812,550
30.4,12.05,84.27325159,22.26203376,551
31.2,12,34.27541767,73.40173009,552
31.95,11.35,29.83726076,27.58499433,553
31.65,11.05,97.798711,43.24388697,554
32.95,11.15,72.44773255,70.17363625,555
32.65,11.7,5.762848695,75.67245401,556
32.25,12.25,37.21797479,93.99769183,557
32.05,12.25,24.35516107,26.32298556,558
31.3,12.7,61.97785732,75.4259593,559
31.95,12.95,44.16560937,31.91800886,560
32.75,13.1,66.20235182,22.24931992,561
33.15,13.2,12.45726151,65.96536513,562
33.1,12.75,5.874075235,89.65934528,563
33.15,12.1,79.44298715,89.33515161,564
34.3,11.75,66.87893736,7.07982205,565
34,10.85,6.136868666,38.93238107,566
34.65,11,72.09818147,9.237316148,567
34.8,10.1,13.42062486,75.24815603,568
35.65,9.85,93.81212156,22.33448988,569
36.35,10,50.74633599,17.41684928,570
35.55,10.75,37.9692804,82.26465393,571
35.8,11.55,2.058047077,75.30406501,572
35.2,11.75,73.68607928,49.77839803,573
34.7,11.75,64.85061954,14.83200734,574
34.95,12.75,24.03725677,38.84149348,575
34.05,12.55,59.45327964,55.44854206,576
34.05,13.05,55.54844532,56.8004887,577
33.25,13.7,59.78107329,55.19376972,578
33.2,14.15,60.26945538,59.59101798,579
33.25,14.7,13.04553858,99.17628734,580
33,15.15,44.67804236,89.29982727,581
32.95,15.65,99.47258591,60.69716278,582
32.6,16.15,27.26969613,3.936744479,583
32.45,16.75,35.91251322,31.86668417,584
32.65,17.05,32.32555859,58.64251838,585
32.75,17.3,57.69808647,12.52890677,586
31.75,17.2,18.6379471,92.88819984,587
31.7,17.65,29.21711894,84.98577524,588
31,17.5,1.89635024,4.10825158,589
31.15,17.9,54.65352406,5.264879218,590
30.45,18.05,72.49432126,28.96409734,591
30.05,18.8,31.05412615,48.81499742,592
30.55,18.8,62.24607316,71.62633297,593
30.5,19.3,94.19304037,45.45711645,594
30.25,19.4,0.485452003,42.20101481,595
29.6,19.85,82.11323949,83.30630225,596
29.15,20.55,60.91943744,46.77140796,597
30.25,20.45,44.83391282,61.97454596,598
30.7,20.05,60.52101657,69.37085902,599
31,19.9,37.72844412,23.39648616,600
31.55,19.65,95.3885518,92.55385547,601
31.5,18.55,74.3604105,37.4183478,602
32.05,18.6,98.46751987,85.37029204,603
31.95,19.1,23.43196126,55.61305199,604
32.6,18.35,22.13641685,3.258858244,605
32.85,17.95,57.83466166,32.81021762,606
33.45,17.45,31.95054713,42.00418062,607
33.7,17,19.8556024,22.19046396,608
34.25,17.35,90.32470445,56.80976255,609
34.3,18.05,81.81950451,37.26928041,610
33.85,18.4,32.71234474,86.26860398,611
33.05,18.85,50.09510456,19.57144491,612
33.25,18.95,9.148354389,4.767660671,613
32.8,19.15,88.6975615,70.48887499,614
32.3,19.85,61.68678978,24.46454335,615
32.8,20,92.81796891,65.36178281,616
31.75,20.25,51.23714442,14.35944715,617
31.75,20.75,32.52634586,98.44046846,618
32.1,21.15,0.820461296,1.239674936,619
31.55,21.6,7.967674812,97.17655268,620
30.65,21.3,95.61546503,28.65764233,621
29.95,21.6,17.39725553,31.68118027,622
29.5,21.6,39.2099589,71.79234675,623
30.35,22.05,44.79253155,90.34760178,624
31.05,22,73.91680749,81.97248023,625
31.55,22.2,28.9800606,2.902009606,626
30.95,22.65,52.31673823,78.23307547,627
30.3,23.1,87.1443369,72.85547159,628
29.6,23.15,92.18488646,83.75063852,629
29.35,22.55,66.39952633,44.25282555,630
29.2,23.85,48.68874566,64.4160083,631
30.75,24,64.26647249,39.71438169,632
30.95,24.15,16.73218446,83.58783565,633
31.45,23.7,79.15783904,97.11194194,634
31.95,23.15,8.394682201,32.91285833,635
32.55,22.05,69.50710548,7.637434311,636
32.6,22.55,72.47813348,4.417780888,637
33.25,22.25,20.97698651,0.07859744,638
33.65,21.9,12.44929934,23.88324813,639
33.5,21.3,97.53311841,73.97071114,640
33.1,20.75,19.87271672,6.465905821,641
